Model,Accuracy,Macro F1,Macro P,Macro R,week
Logistic Regression,0.6149193548387096,0.6235563284619119,0.6234998006379586,0.6239035087719298,7
Gaussian Naive Bayes,0.3467741935483871,0.3343097208271355,0.3671507688441571,0.34779858299595146,7
KNN k=3 manhattan,0.6189516129032258,0.6009362677709758,0.6060407523231672,0.5998228744939271,7
