n_components,var_explained,LR F1,KNN F1,SVM F1
2,0.27848384243304786,0.17820839439799346,0.18997860187762827,0.17687174933675853
5,0.4388331904489776,0.2316309258596959,0.2557467059174761,0.2562158568988505
10,0.5906185486482254,0.2826355143563514,0.39860428472672615,0.3705293330947193
20,0.7479654906816045,0.33693899625228074,0.45067431191094215,0.5132657375405361
30,0.8358748630074637,0.4683727782240584,0.5138792683053225,0.6083496588933786
50,0.9305951776441448,0.5491000967085499,0.552529749743554,0.6678993804517452
80,0.9859765626199009,0.5986036060442212,0.5982525230994754,0.729745726177119
112,1.0,0.6235563284619119,0.6009362677709758,0.7375185774661095
